row_level,col_level,row,col,article_count
method,marker_artifact,ICA,TMS artifact,8
method,marker_artifact,ICA,fMRI gradient artifact,9
method,marker_artifact,LDA,Artifact label / class,1
method,marker_artifact,LDA,Bad channel / electrode contact,5
method,marker_artifact,LDA,Cardiac / ECG / BCG,9
method,marker_artifact,LDA,Line / mains noise,5
method,marker_artifact,LDA,Motion / head movement,3
method,marker_artifact,LDA,Muscle / EMG,11
method,marker_artifact,LDA,Ocular / blink / EOG,14
method,marker_artifact,LSTM,Artifact label / class,1
method,marker_artifact,LSTM,Bad channel / electrode contact,1
method,marker_artifact,LSTM,Cardiac / ECG / BCG,12
method,marker_artifact,LSTM,Line / mains noise,4
method,marker_artifact,LSTM,Motion / head movement,1
method,marker_artifact,LSTM,Muscle / EMG,23
method,marker_artifact,LSTM,Ocular / blink / EOG,29
method,marker_artifact,LSTM,TMS artifact,2
method,marker_artifact,LSTM,fMRI gradient artifact,1
method,marker_artifact,PCA,Bad channel / electrode contact,6
method,marker_artifact,PCA,Cardiac / ECG / BCG,34
method,marker_artifact,PCA,Line / mains noise,26
method,marker_artifact,PCA,Motion / head movement,16
method,marker_artifact,PCA,Muscle / EMG,30
method,marker_artifact,PCA,Ocular / blink / EOG,51
method,marker_artifact,PCA,Rejected epoch / segment,3
method,marker_artifact,PCA,TMS artifact,2
method,marker_artifact,PCA,fMRI gradient artifact,5
method,marker_artifact,RNN,Bad channel / electrode contact,2
method,marker_artifact,RNN,Cardiac / ECG / BCG,6
method,marker_artifact,RNN,Line / mains noise,4
method,marker_artifact,RNN,Motion / head movement,1
method,marker_artifact,RNN,Muscle / EMG,16
method,marker_artifact,RNN,Ocular / blink / EOG,15
method,marker_artifact,RNN,TMS artifact,1
method,marker_artifact,Random Forest,Artifact label / class,1
method,marker_artifact,Random Forest,Bad channel / electrode contact,1
method,marker_artifact,Random Forest,Cardiac / ECG / BCG,7
method,marker_artifact,Random Forest,Drift / sweat / cable,1
method,marker_artifact,Random Forest,Line / mains noise,4
method,marker_artifact,Random Forest,Motion / head movement,5
method,marker_artifact,Random Forest,Muscle / EMG,7
method,marker_artifact,Random Forest,Ocular / blink / EOG,16
method,marker_artifact,Random Forest,Rejected epoch / segment,1
method,marker_artifact,SOBI/BSS,Artifact label / class,4
method,marker_artifact,SOBI/BSS,Bad channel / electrode contact,6
method,marker_artifact,SOBI/BSS,Cardiac / ECG / BCG,24
method,marker_artifact,SOBI/BSS,Cochlear implant artifact,3
method,marker_artifact,SOBI/BSS,IC/component label,2
method,marker_artifact,SOBI/BSS,Line / mains noise,20
method,marker_artifact,SOBI/BSS,Motion / head movement,23
method,marker_artifact,SOBI/BSS,Muscle / EMG,51
method,marker_artifact,SOBI/BSS,Ocular / blink / EOG,87
method,marker_artifact,SOBI/BSS,Rejected epoch / segment,3
method,marker_artifact,SOBI/BSS,fMRI gradient artifact,2
method,marker_artifact,SVM,Artifact label / class,4
method,marker_artifact,SVM,Bad channel / electrode contact,6
method,marker_artifact,SVM,Cardiac / ECG / BCG,28
method,marker_artifact,SVM,IC/component label,1
method,marker_artifact,SVM,Line / mains noise,9
method,marker_artifact,SVM,Motion / head movement,12
method,marker_artifact,SVM,Muscle / EMG,32
method,marker_artifact,SVM,Ocular / blink / EOG,47
method,marker_artifact,SVM,Rejected epoch / segment,1
method,marker_artifact,SVM,TMS artifact,1
method,marker_artifact,Welch,Bad channel / electrode contact,4
method,marker_artifact,Welch,Cardiac / ECG / BCG,3
method,marker_artifact,Welch,Cochlear implant artifact,1
method,marker_artifact,Welch,Line / mains noise,16
